place,lac,ci,lon,lat,2G_3G,people
MY0540A1_绵阳西科大8路车站-1,33111,51034,104.69212,31.52805,2,6
MY0540B1_绵阳西科大8路车站-2,33111,51035,104.69212,31.52805,2,6
MY0540C1_绵阳西科大8路车站-3,33111,51036,104.69212,31.52805,2,6
MY0488A1_绵阳石洞三清观村-1,33111,51394,104.664504,31.351669,2,1
MY0488B1_绵阳石洞三清观村-2,33111,51395,104.664504,31.351669,2,0.5
MY0488C1_绵阳石洞三清观村-3,33111,51396,104.664504,31.351669,2,1
MY0444A1_绵阳龙门综合市场-1,33111,51454,104.69168,31.56481,2,1
MY0444B1_绵阳龙门综合市场-2,33111,51455,104.69168,31.56481,2,4
MY0444C1_绵阳龙门综合市场-3,33111,51456,104.69168,31.56481,2,4
MY0600A1_绵阳玉皇尖堡梁村-1,33111,51464,104.668963,31.295097,2,0.5
MY0600B1_绵阳玉皇尖堡梁村-2,33111,51465,104.668963,31.295097,2,0.5
MY0600C1_绵阳玉皇尖堡梁村-3,33111,51466,104.668963,31.295097,2,0.5
MY0556A1_绵阳新观寺村-1,33111,51814,104.6415,31.50096,2,5
MY0556B1_绵阳新观寺村-2,33111,51815,104.6415,31.50096,2,0.5
MY0556C1_绵阳新观寺村-3,33111,51816,104.6415,31.50096,2,5
MY0319A1_绵阳520医院-1,33111,51854,104.69855,31.46816,2,2
MY0319B1_绵阳520医院-2,33111,51855,104.69855,31.46816,2,2
MY0319C1_绵阳520医院-3,33111,51856,104.69855,31.46816,2,0.5
MY6066A1_绵阳新欣电子1800-1,33111,51904,104.678557,31.457683,2,12
MY6066B1_绵阳新欣电子1800-2,33111,51905,104.678557,31.457683,2,0.5
MY6066C1_绵阳新欣电子1800-3,33111,51906,104.678557,31.457683,2,0.5
MY6052A1_绵阳双碑电缆厂1800-1,33111,51914,104.68577,31.46574,2,12
MY6052B1_绵阳双碑电缆厂1800-2,33111,51915,104.68577,31.46574,2,12
MY6052C1_绵阳双碑电缆厂1800-3,33111,51916,104.68577,31.46574,2,0.5
MY6041A1_绵阳卢卡美郡1800-1,33111,51984,104.67448,31.47498,2,5
MY6041B1_绵阳卢卡美郡1800-2,33111,51985,104.67448,31.47498,2,1
MY6041C1_绵阳卢卡美郡1800-3,33111,51986,104.67448,31.47498,2,1
MY0322A1_绵阳八一学校-1,33111,52014,104.70383,31.47241,2,0.5
MY0322B1_绵阳八一学校-2,33111,52015,104.70383,31.47241,2,1
MY0322C1_绵阳八一学校-3,33111,52016,104.70383,31.47241,2,3
MY6065A1_绵阳西科大后山1800-1,33111,52024,104.68956,31.53411,2,0.5
MY6065B1_绵阳西科大后山1800-2,33111,52025,104.68956,31.53411,2,0.5
MY6065C1_绵阳西科大后山1800-3,33111,52026,104.68956,31.53411,2,0.5
MY0348A1_绵阳东辰中学后校门-1,33111,52027,104.70739,31.47778,2,3
MY0348B1_绵阳东辰中学后校门-2,33111,52028,104.70739,31.47778,2,3
MY0348C1_绵阳东辰中学后校门-3,33111,52029,104.70739,31.47778,2,5
MY6073A1_绵阳永兴综合市场1800-1,33111,52094,104.62983,31.46436,2,1
MY6073B1_绵阳永兴综合市场1800-2,33111,52095,104.62983,31.46436,2,2
MY6073C1_绵阳永兴综合市场1800-3,33111,52096,104.62983,31.46436,2,2
MY0578A1_绵阳永兴综合市场-1,33111,52124,104.62983,31.46436,2,0.5
MY0578B1_绵阳永兴综合市场-2,33111,52125,104.62983,31.46436,2,6
MY0578C1_绵阳永兴综合市场-3,33111,52126,104.62983,31.46436,2,0.5
MY6063A1_绵阳西工院1800-1,33111,52154,104.68267,31.53535,2,0.5
MY6063B1_绵阳西工院1800-2,33111,52155,104.68267,31.53535,2,0.5
MY6063C1_绵阳西工院1800-3,33111,52156,104.68267,31.53535,2,0.5
MY0357A1_绵阳丰谷2-1,33111,56011,104.82623,31.35127,2,11
MY0357B1_绵阳丰谷2-2,33111,56012,104.82623,31.35127,2,6
MY0357C1_绵阳丰谷2-3,33111,56013,104.82623,31.35127,2,6
MY5034A1_绵阳王子酒店-0,33111,56051,104.7159,31.4595,2,6
MY5045A1_绵阳长虹大酒店-0,33111,56141,104.6728,31.4715,2,0.5
MY0320A1_绵阳827基地-1,33111,57224,104.67157,31.44673,2,0.5
MY0320B1_绵阳827基地-2,33111,57225,104.67157,31.44673,2,4
MY0320C1_绵阳827基地-3,33111,57226,104.67157,31.44673,2,4
MY6092A1_绵阳石桥铺2(1800)-1,33111,57244,104.69215,31.4445,2,4
MY6092B1_绵阳石桥铺2(1800)-2,33111,57245,104.69215,31.4445,2,2
MY6092C1_绵阳石桥铺2(1800)-3,33111,57246,104.69215,31.4445,2,2
MY0462A1_绵阳普思电子-1,33111,57254,104.6825,31.4518,2,4
MY0462B1_绵阳普思电子-2,33111,57255,104.6825,31.4518,2,4
